id,airport_ref,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,le_latitude_deg,le_longitude_deg,le_elevation_ft,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft
233399,27181,YWUD,3081,59,GVL,1,0,07,-33.04439926147461,135.44000244140625,310,75,,25,-33.04209899902344,135.44900512695312,283,255,
233400,27181,YWUD,4954,98,ASP,1,0,14,-33.034400939941406,135.4409942626953,306,144,,32,-33.045501708984375,135.4499969482422,277,324,
233401,26979,YECH,1674,59,GVL,0,0,05,-36.157901763916016,144.75900268554688,,58.5,,23,-36.15549850463867,144.76400756835938,,238.5,
233402,26979,YECH,3615,60,ASP,1,0,17,-36.157799,144.761993,321,178,,35,-36.169062,144.762307,322,358,
233403,26996,YGLI,5499,98,GVL,1,0,10,-29.673893,151.682456,3414,106,,28,-29.676845,151.69439,3423,286,
233404,26996,YGLI,4915,98,ASP,1,0,14,-29.66710090637207,151.68600463867188,3426,154,,32,-29.67919921875,151.6929931640625,3433,334,
233405,26936,YBUD,3701,98,CLA,0,0,07,-24.906400680541992,152.31399536132812,107,69,,25,-24.902700424194336,152.32400512695312,101,249,
233406,26936,YBUD,6562,98,ASP,1,0,14,-24.897305,152.317291,101,148,329,32,-24.9126,152.328003,101,328,
233408,27086,YNRM,3609,148,ASP,0,0,04,-32.21839904785156,148.2209930419922,780,54,,22,-32.21260070800781,148.22999572753906,780,234,
233409,27086,YNRM,4990,98,ASP,1,0,11,-32.21229934692383,148.21800231933594,776,121,,29,-32.21950149536133,148.2310028076172,782,301,846
233410,26981,YEML,6234,98,ASP,1,0,06,-23.572200775146484,148.17100524902344,620,71,,24,-23.566499710083008,148.18899536132812,605,251,
233411,26981,YEML,3038,59,GVL,1,0,15,-23.5648,148.175003,611,152,,33,-23.569722,148.177734,615,332,
233412,27180,YWTN,2920,59,CLA,0,0,05,-22.363899,143.076996,628,60,,23,-22.361044,143.082677,632,240,
233413,27180,YWTN,4600,98,ASP,1,0,14,-22.357099533081055,143.08299255371094,638,149,,32,-22.367900848388672,143.08999633789062,617,329,
233414,27139,YSMI,5246,60,ASP,1,0,06,-40.838600158691406,145.0749969482422,31,69,,24,-40.833499908447266,145.09300231933594,21,249,571
233415,27139,YSMI,2034,98,GVL,0,0,10,-40.83100128173828,145.0850067138672,21,113,,28,-40.83290100097656,145.09100341796875,22,293,
233416,27121,YPWR,5295,98,GVL,1,0,12,-31.136899948120117,136.81500244140625,536,125,,30,-31.145200729370117,136.82899475097656,540,305,
233417,27121,YPWR,7782,148,ASP,1,0,18,-31.135099411010742,136.81399536132812,537,186,,36,-31.156400680541992,136.81100463867188,548,6,
233418,27137,YSHK,5545,98,ASP,1,0,18,-25.888894,113.575574,111,178,,36,-25.90413,113.576115,111,358,
233419,26992,YGFN,5607,98,ASP,1,0,18,-29.74720001220703,153.03199768066406,63,186,,36,-29.762500762939453,153.02999877929688,106,6,
233420,27025,YKMP,5413,98,ASP,1,0,04,-31.076499938964844,152.75799560546875,53,54,,22,-31.067899703979492,152.77200317382812,50,234,
233421,27025,YKMP,2014,60,GRS,0,1,16,-31.0688,152.768997,,170,479,34,-31.0744,152.770004,,350,
233422,27185,YYND,4724,60,ASP,0,0,12,-22.24938,131.776415,,127,,30,-22.257727,131.78793,,307,
233423,26948,YCCY,3796,60,ASP,0,0,06,-20.670299530029297,140.49899291992188,611,68,,24,-20.666400909423828,140.50900268554688,616,248,
233424,26948,YCCY,6562,98,ASP,1,0,12,-20.660200119018555,140.5,612,128,,30,-20.671300888061523,140.51499938964844,613,308,
233425,27177,YSHL,4367,98,ASP,1,0,08,-34.56230163574219,150.78199768066406,29,94,,26,-34.563201904296875,150.79600524902344,18,274,318
233426,27177,YSHL,5967,98,ASP,1,0,16,-34.55149841308594,150.78500366210938,22,169,,34,-34.567501068115234,150.78900146484375,29,349,577
233427,26971,YDBY,3799,59,GVL,1,0,05,-17.37459945678711,123.65799713134766,23,56,,23,-17.368799209594727,123.66699981689453,19,236,
233428,26971,YDBY,5696,98,ASP,1,0,11,-17.368799209594727,123.65299987792969,18,111,,29,-17.374300003051758,123.66899871826172,24,291,
233429,27112,YPLC,4918,98,ASP,1,0,01,-34.61259841918945,135.8769989013672,9,17,,19,-34.599700927734375,135.88099670410156,21,197,
233430,27112,YPLC,4183,98,GVL,0,0,05,-34.607398986816406,135.875,21,58,,23,-34.601200103759766,135.88699340820312,13,238,
233431,27112,YPLC,4757,98,GVL,1,0,15,-34.599098205566406,135.875,36,154,,33,-34.610801696777344,135.8820037841797,9,334,
233432,27083,YNGU,5020,59,ASP,1,0,11,-14.720600128173828,134.74099731445312,40,115,,29,-14.726300239562988,134.75399780273438,33,295,
233433,27007,YHML,4045,98,GVL,0,0,10,-37.645999908447266,142.0590057373047,776,113,,28,-37.65039825439453,142.07200622558594,799,293,
233434,27007,YHML,4606,98,ASP,1,0,17,-37.638639,142.061904,764,180,,35,-37.653999,142.061996,781,360,
233435,26903,YBCK,5538,98,ASP,1,0,06,-24.434999465942383,145.42100524902344,918,67,,24,-24.429100036621094,145.43600463867188,926,247,
233436,26903,YBCK,5259,98,CLA,1,0,12,-24.420700073242188,145.4199981689453,917,128,,30,-24.429399490356445,145.43299865722656,925,308,
233437,26892,YARG,7546,98,ASP,1,0,01,-16.644800186157227,128.44700622558594,522,21,,19,-16.62540054321289,128.45399475097656,505,201,
233438,27015,YISF,4498,100,COP,0,0,14,-24.254068,144.420677,,148,,32,-24.264561,144.427785,,328,
233439,27058,YMHB,8947,148,ASP,1,0,12,-42.828223,147.501024,12,135,,30,-42.845586,147.5246,13,315,
233440,27051,YMEN,6302,148,ASP,1,0,08,-37.731391,144.892877,239,88,,26,-37.730792,144.91466,239,268,
233441,27051,YMEN,4311,148,ASP,1,0,17,-37.720416,144.900758,282,177,,35,-37.733943,144.901406,282,357,889
233442,27010,YHPN,3730,60,ASP,1,0,01,-35.71989822387695,142.35800170898438,256,21,88,19,-35.71049880981445,142.36300659179688,256,201,
233443,27010,YHPN,1598,98,GRS,1,0,08,-35.7140007019043,142.35800170898438,,91,,26,-35.7140007019043,142.36300659179688,,271,
233444,27142,YSNW,6713,148,ASP,1,0,03,-34.94889831542969,150.53599548339844,357,45,,21,-34.935699462890625,150.552001953125,376,225,
233445,27142,YSNW,6870,148,ASP,1,0,08,-34.947898864746094,150.52699279785156,400,95,,26,-34.94929885864258,150.5489959716797,362,275,298
233446,27002,YHAY,4800,98,ASP,1,0,04,-34.53739929199219,144.82400512695312,303,44,,22,-34.52790069580078,144.8350067138672,303,224,
233447,27002,YHAY,3740,98,GRE,0,0,15,-34.52389907836914,144.82699584960938,305,155,,33,-34.533199310302734,144.83200073242188,304,335,
233450,27072,YMOR,5292,98,ASP,1,0,01,-29.50629997253418,149.84300231933594,697,17,,19,-29.492399215698242,149.84800720214844,701,197,
233451,27072,YMOR,3205,60,GVL,0,0,05,-29.50079917907715,149.83700561523438,690,58,,23,-29.496200561523438,149.84500122070312,696,238,
233452,26963,YCOR,5994,148,ASP,1,0,05,-36.000801,146.345001,461,55,,23,-35.99273,146.358398,464,235,
233453,26963,YCOR,5000,98,ASP,0,0,14,-35.983101,146.345993,462,145,,32,-35.992459,146.354813,463,325,148
233454,27172,YWKB,4501,98,ASP,1,0,08,-36.32210159301758,142.41299438476562,397,86,,26,-36.32120132446289,142.42799377441406,395,266,
233455,27172,YWKB,2503,98,GRS,1,0,17,-36.317501068115234,142.41799926757812,382,176,,35,-36.32440185546875,142.41900634765625,394,356,
233456,26964,YCRG,4596,98,ASP,1,0,06,-36.185298919677734,147.8800048828125,962,72,256,24,-36.18149948120117,147.8939971923828,949,252,288
233460,27158,YTNG,4993,98,ASP,1,0,10,-24.492700576782227,150.57200622558594,632,111,,28,-24.497699737548828,150.58599853515625,644,291,
233461,27158,YTNG,2605,98,CLA,1,0,14,-24.49209976196289,150.5749969482422,630,140,,32,-24.497600555419922,150.58099365234375,641,320,
233464,27120,YPTN,9003,150,ASP,1,0,14,-14.512200355529785,132.36900329589844,428,139,,32,-14.530900001525879,132.38600158691406,443,319,
